,audio_path,text,sampling_rate,train_or_test
0,./audio/ch_ag_0006.wav,"Die ""dommi, vulgäri Kömodie"" sig beschämend för alli Beteiligte.",16000,TRAIN
1,./audio/ch_ag_0011.wav,"Sie baut es Näscht, leit Eier ond füetteret eri Jonge met Polle.",16000,TRAIN
2,./audio/ch_ag_0013.wav,Velli empfskeptischi Eltere informiere sech öber s'Internet.,16000,TRAIN
3,./audio/ch_ag_0015.wav,"Au de Bewis enthaltet es paar analytischi Schwächine, wo erscht spöter het chönne besiegt wärde.",16000,TRAIN
4,./audio/ch_ag_0020.wav,Am Sonntig ond am Mentig esches teilwis sonnig.,16000,TRAIN
5,./audio/ch_ag_0038.wav,"Es esch no si Vater gsi, wo de Ralph Voltz zom Zeichne animiert hät.",16000,TRAIN
6,./audio/ch_ag_0052.wav,Met de Elektrifizierig fom Huushalt esch au s'Glättise elektrisch gheizt worde.,16000,TRAIN
7,./audio/ch_ag_0073.wav,"Zom Tüfel, hani verbetteret dänkt, de betrenki mi halt.",16000,TRAIN
8,./audio/ch_ag_0080.wav,"Mer händ öppis tronke, zom eus z'entspanne.",16000,TRAIN
9,./audio/ch_ag_0085.wav,Aber Rechtig Norde ond Weschte hämmer dene scho vell Rägewolche.,16000,TRAIN
10,./audio/ch_ag_0087.wav,Hingege de Bärge no gehts hüfiger Schnee.,16000,TRAIN
11,./audio/ch_ag_0091.wav,Au be eus werds sogar weder melder.,16000,TRAIN
12,./audio/ch_ag_0093.wav,Allerdengs esches en Bärn zerscht no bewölkt.,16000,TRAIN
13,./audio/ch_ag_0102.wav,"En Äthiopie wördi mer sech bem Augekontakt grüesse, au wennmer sech ned kennt.",16000,TRAIN
14,./audio/ch_ag_0114.wav,Velli Sudanesinne ond Sudanesse wänd offebar trotz Absetzig fom Langzitherrscher al-Bachir ned fode Strosse wiche.,16000,TRAIN
15,./audio/ch_ag_0118.wav,Dodebi gohts allerdengs ned nome om qualifizierts Personal.,16000,TRAIN
16,./audio/ch_ag_0123.wav,"Aber d'Erwartig esch, dass die digitalie Telefonie die glichi Glaubwördigkeit ond vor allemStabilität het wie die analog Telefonie.",16000,TRAIN
17,./audio/ch_ag_0125.wav,Will scho es sinere Chendheit het de Rothörig nome Scheiss gmacht.,16000,TRAIN
18,./audio/ch_ag_0140.wav,Die Aordnig met zwoi onterenand legende Glänkwälle bedengt e eigeartige Konstruktion fom Dreihgstell.,16000,TRAIN
19,./audio/ch_ag_0156.wav,Esau lert schnell z'gehorche.,16000,TRAIN
20,./audio/ch_ag_0157.wav,"D'Börger send jetzt vor de Frog gstande, wellem fo beidne sie ghorche sölle.",16000,TRAIN
21,./audio/ch_ag_0159.wav,Bem Miliardeprojekt het sech es klars Nei abzeichnet.,16000,TRAIN
22,./audio/ch_ag_0182.wav,D'Bahnfahrt esch em Skipass enbegreffe.,16000,TRAIN
23,./audio/ch_ag_0186.wav,So send elleige förs zwoitusigondzwänzg drü witere Mars-Missione plant.,16000,TRAIN
24,./audio/ch_ag_0187.wav,Die neuartigi Gentherapie loht Betroffeni hoffe.,16000,TRAIN
25,./audio/ch_ag_0189.wav,Höt setzt de Kanton Freiborg verschedeni Präventions- ond Betruigsmassnahme em Bereich fo de Spelsocht ond de Verscholdig om.,16000,TRAIN
26,./audio/ch_ag_0197.wav,De Saturn esch dor sini Reng guet fode anderne Planete z'onterscheide.,16000,TRAIN
27,./audio/ch_ag_0200.wav,Ziel esches Stress ond spannige abz'baue sowie d'Eskalation fomene Konflekt z'verhendere.,16000,TRAIN
28,./audio/ch_ag_0225.wav,Het ehn zerresse ond d'Schnepsel e Chöbbel grüehrt.,16000,TRAIN
29,./audio/ch_ag_0232.wav,Öber de Bärge belde sech Quellwolche met (einzelne Schauern) ond Gwetter.,16000,TRAIN
30,./audio/ch_ag_0262.wav,Sie alli enteressiere sech för d'Google CLoud.,16000,TRAIN
31,./audio/ch_ag_0277.wav,"Sie cha dodemet sehr starchi, bösi Magie bewörke.",16000,TRAIN
32,./audio/ch_ag_0279.wav,Sie esch metem Literaturwösseschaftler Karl heinz Bohrer verhürotet gsi.,16000,TRAIN
33,./audio/ch_ag_0281.wav,Pfefermönzöl het sech edere Hesecht ebebördig als anders Analgetike erwese.,16000,TRAIN
34,./audio/ch_ag_0283.wav,D'Bestürig werd fode Bondesmonopolverwaltig för Branntwi verwaltet.,16000,TRAIN
35,./audio/ch_ag_0295.wav,"Markant esch s'farbige Layout fom Magazin gsi, entwecklet vom Kommunikationsdesig-Professor Lo Breier.",16000,TRAIN
36,./audio/ch_ag_0297.wav,E BH bestoht os finde Leine met wertvolle Nadelspetz.,16000,TRAIN
37,./audio/ch_ag_0307.wav,Det wärde insbesondere Dachbalke ond Bestandteil vör Bärghötte produziert.,16000,TRAIN
38,./audio/ch_ag_0315.wav,"Dank Wieterbeldig het er ghofft, bald en besseri Astellig als Elektriker z'fende.",16000,TRAIN
39,./audio/ch_ag_0325.wav,"Die wederum send Teil ""Deutschweizer Vereinigung"" met Setz en Zöri.",16000,TRAIN
40,./audio/ch_ag_0344.wav,"Erwärmt rtonke, sölls au es Mettel gäge Dorchfall gsi si.",16000,TRAIN
41,./audio/ch_ag_0352.wav,Die met Lokalkolorit usgstattete Romae händ bis jetzt Vorbelder oder Motiv os de Realität öberno.,16000,TRAIN
42,./audio/ch_ag_0367.wav,För d'Herkonft fode Bezeichnig Eisbein gehts onterschedlechi Erklärige.,16000,TRAIN
43,./audio/ch_ag_0388.wav,"Wo noch allerhand Turbulänze de Schwendel ufgfloge esch, reist Kukus Schwöschter erbost ab.",16000,TRAIN
44,./audio/ch_ag_0396.wav,Spöter esch s'Ärdbeeri sogar es Wappe ufgno worde.,16000,TRAIN
45,./audio/ch_ag_0423.wav,Au Katholischi Pfarämzter händ gholfe: Sie händ falschi Gebortsorchonde bsorgt.,16000,TRAIN
46,./audio/ch_ag_0424.wav,"Soziali Institutione hendere Fraue dra, eri ganzi Humanitätt z'entfalte.",16000,TRAIN
47,./audio/ch_ag_0440.wav,"D'Arm ond Händ send relativ gross gsi, kennzeichnend esch de verlängerti erschti Fenger gsi.",16000,TRAIN
48,./audio/ch_ag_0446.wav,"Nachem Welle fode Eltere hätti er sölle Wert, Fleischhauer oder Flieseläger wärde.",16000,TRAIN
49,./audio/ch_ag_0451.wav,"En Tray esch es rechteckigs Gebelde, met Vertüfige för d'Fläsche.",16000,TRAIN
50,./audio/ch_ag_0454.wav,Inga ond Liv flirte onterdesse met de andere Jongs.,16000,TRAIN
51,./audio/ch_ag_0457.wav,"Sie fendet dete enne zwösche antike Chleiderstöck au zwei Ohrringe, sowie es Beld fomene Nachtclub.",16000,TRAIN
52,./audio/ch_ag_0459.wav,D'Fransle send schwärzlech grau.,16000,TRAIN
53,./audio/ch_ag_0497.wav,Au os dere Ehe göng kei Nachkomme hervor.,16000,TRAIN
54,./audio/ch_ag_0504.wav,Kochti Klöss wärde zäme met Eier zuebereitet ond kochti Härdöpfel hüfig als Brothärdöpfel ahrechtet.,16000,TRAIN
55,./audio/ch_ag_0512.wav,Fom Gschmack her esch de gälblech Chartreuse süesser ond melder als de chräftig grüen.,16000,TRAIN
56,./audio/ch_ag_0537.wav,"De Fraueateil esch bescheide, nome rond ei Viertel fode Teilnehmende esch wiblech.",16000,TRAIN
57,./audio/ch_ag_0546.wav,"En Freiburg ond Schwys send söttigi in Usarbeitig, nachdem s'Volk Juso-Initiative ebefalls zuegstemmt het.",16000,TRAIN
58,./audio/ch_ag_0547.wav,"D'SP esch vor zwölf Johr schomol am gliche Ponkt gsi, wie höt.",16000,TRAIN
59,./audio/ch_ag_0552.wav,Fritigmetternacht lauft d'Igabefrescht för d'Kandidate ab.,16000,TRAIN
